serial_number,activity_date,facility_name,score,grade,service_code,service_description,employee_id,facility_address,facility_city,facility_id,facility_state,facility_zip,owner_id,owner_name,pe_description,program_element_pe,program_name,program_status,record_id
DAQ07YWBF,2015-11-16T00:00:00.000,JACK IN THE BOX # 326,98,A,1,ROUTINE INSPECTION,EE0000923,4470 EAGLE ROCK BLVD,LOS ANGELES,FA0018445,CA,90041,OW0033575,"SOOD ENTERPRISES, INC.",RESTAURANT (31-60) SEATS MODERATE RISK,1634,JACK IN THE BOX,ACTIVE,PR0026291
DADFCY20K,2016-11-03T00:00:00.000,CHICHEN ITZA,93,A,1,ROUTINE INSPECTION,EE0000594,3655 S GRAND AVE STE C-6,LOS ANGELES,FA0059631,CA,90007,OW0007532,CHICHEN ITZA FOOD SVCS INC.,RESTAURANT (0-30) SEATS HIGH RISK,1632,CHICHEN ITZA,ACTIVE,PR0018242
DAUWLCKKQ,2017-04-11T00:00:00.000,SKAI CAFE,93,A,1,ROUTINE INSPECTION,EE0000884,1159 S VERMONT AVE,LOS ANGELES,FA0047920,CA,90006,OW0009364,"DALLAE GROUP, INC.",RESTAURANT (61-150) SEATS HIGH RISK,1638,SKAI CAFE,ACTIVE,PR0005853
DA0WOZH20,2017-03-29T00:00:00.000,THE GREENROOM,99,A,1,ROUTINE INSPECTION,EE0000117,6250 HOLLYWOOD BLVD,LOS ANGELES,FA0142759,CA,90028-5325,OW0105931,HOLLYWOOD & VINE REST OP LLC,RESTAURANT (0-30) SEATS HIGH RISK,1632,THE GREENROOM,ACTIVE,PR0128788
DAHE0GXBU,2015-09-28T00:00:00.000,LITTLE CAESARS,96,A,1,ROUTINE INSPECTION,EE0001049,5053 E WHITTIER BLVD,LOS ANGELES,FA0065810,CA,90022,OW0021931,"LITTLE CAESAR, INC",RESTAURANT (0-30) SEATS MODERATE RISK,1631,LITTLE CAESARS,ACTIVE,PR0000367
DA1VO0N0H,2016-06-16T00:00:00.000,EL CID,90,A,1,ROUTINE INSPECTION,EE0000904,4212 W SUNSET BLVD,LOS ANGELES,FA0012181,CA,90029,OW0010816,EL CID LOS ANGELES INC,RESTAURANT (61-150) SEATS HIGH RISK,1638,EL CID,INACTIVE,PR0040247
DABNVQWQJ,2018-03-07T00:00:00.000,BEST BARGAIN,95,A,1,ROUTINE INSPECTION,EE0000195,13010 S AVALON BLVD,LOS ANGELES,FA0058221,CA,90061,OW0039959,YOUNG'S BARGAIN INC,"FOOD MKT RETAIL (2,000+ SF) LOW RISK",1613,BEST BARGAIN,ACTIVE,PR0014086
DA5I0IAV0,2016-06-20T00:00:00.000,THE TWIN DRAGON,85,B,1,ROUTINE INSPECTION,EE0000059,8597 W PICO BLVD,LOS ANGELES,FA0177430,CA,90035,OW0183353,TANG CAPITAL INC.,RESTAURANT (61-150) SEATS HIGH RISK,1638,THE TWIN DRAGON,ACTIVE,PR0170426
DAROQORAZ,2017-07-27T00:00:00.000,N. Y. B. D,94,A,1,ROUTINE INSPECTION,EE0000144,11700 W NATIONAL BLVD #G,LOS ANGELES,FA0137427,CA,90064,OW0100390,"MDR BAGEL CO, INC.",RESTAURANT (0-30) SEATS MODERATE RISK,1631,N. Y. B. D,ACTIVE,PR0121455
DALQMRHQH,2017-03-30T00:00:00.000,MONG KOREAN BBQ,91,A,1,ROUTINE INSPECTION,EE0001003,100 S WESTERN AVE,LOS ANGELES,FA0170091,CA,90004,OW0133055,"HYUNDAE CAR WASH, INC",RESTAURANT (61-150) SEATS HIGH RISK,1638,MONG KOREAN BBQ,ACTIVE,PR0160546
DABRDG2FK,2016-07-07T00:00:00.000,SUBWAY # 20906,98,A,1,ROUTINE INSPECTION,EE0000857,5537 W SUNSET BLVD,LOS ANGELES,FA0034763,CA,90028,OW0005591,C G INVESTMENTS INC,RESTAURANT (31-60) SEATS MODERATE RISK,1634,SUBWAY # 20906,ACTIVE,PR0046267
DAFWN7EB2,2017-01-31T00:00:00.000,ONE STOP MARKET,97,A,1,ROUTINE INSPECTION,EE0000905,4355 ARLINGTON AVE,LOS ANGELES,FA0143768,CA,90008,OW0106817,YO S KO,"FOOD MKT RETAIL (2,000+ SF) LOW RISK",1613,ONE STOP MARKET,INACTIVE,PR0129730
DAY8P0DJJ,2017-01-27T00:00:00.000,WET DOCUMENT,94,A,1,ROUTINE INSPECTION,EE0000854,3850 WILSHIRE BLVD #107,LOS ANGELES,FA0159480,CA,90010-3206,OW0124494,"WET DOCUMENT, INC",RESTAURANT (31-60) SEATS MODERATE RISK,1634,CAFE WITHIN AN ART GALLERY,ACTIVE,PR0147544
DATIXHZCG,2015-12-10T00:00:00.000,HOT THAI RESTAURANT,90,A,1,ROUTINE INSPECTION,EE0000659,416 S SAN VICENTE BLVD,LOS ANGELES,FA0143611,CA,90048,OW0106678,HOT THAI RUBSUB LLC,RESTAURANT (0-30) SEATS HIGH RISK,1632,HOT THAI RESTAURANT,ACTIVE,PR0129536
DABQLH1XV,2016-06-16T00:00:00.000,MONARCA PASTA AND GRILL,92,A,1,ROUTINE INSPECTION,EE0000874,2703 S VERMONT AVE,LOS ANGELES,FA0041241,CA,90007,OW0023254,MANZO DIAZ VICTORIANO,RESTAURANT (0-30) SEATS HIGH RISK,1632,MONARCA PASTA AND GRILL,ACTIVE,PR0023812
